dataset_name,cnn,encoder,fcn,mcdcnn,mlp,resnet,tlenet,twiesn
ScreenType,39.8(1.3),41.4(2.2),62.2(1.7),40.6(1.8),40.2(1.3),61.5(2.9),33.3(0.0),42.7(1.3)
SemgHandGenderCh2,80.0(0.6),88.5(1.5),81.6(1.4),84.6(5.2),82.2(0.8),82.4(1.3),47.0(16.4),76.8(1.1)
SemgHandMovementCh2,45.5(2.7),48.4(2.6),47.6(2.7),42.9(1.5),43.5(2.5),43.9(2.0),16.7(0.0),42.6(2.1)
SemgHandSubjectCh2,79.0(2.0),84.1(1.0),74.2(1.6),84.1(2.3),81.7(1.5),73.9(0.7),20.0(0.0),66.4(2.0)
ShakeGestureWiimoteZ,58.0(2.0),75.6(4.3),88.4(1.7),51.6(18.1),54.8(2.3),88.0(3.2),10.0(0.0),86.4(2.2)
ShapeletSim,49.7(1.0),51.0(1.7),70.6(4.2),49.8(3.5),51.3(2.3),78.2(17.4),50.0(0.0),54.6(8.2)
ShapesAll,61.7(0.9),67.9(1.0),89.4(0.4),59.9(3.1),77.6(0.9),92.6(0.7),1.7(0.0),64.3(2.1)
SmallKitchenAppliances,62.6(1.5),77.3(0.6),77.7(0.4),47.1(4.5),38.0(1.5),78.1(1.3),33.3(0.0),67.4(3.2)
SmoothSubspace,97.6(0.9),96.4(0.4),97.5(0.3),96.3(2.8),98.0(0.9),98.0(0.5),33.3(0.0),84.9(3.4)
SonyAIBORobotSurface1,69.0(3.2),72.9(1.0),95.8(1.4),65.5(17.8),69.2(1.7),96.1(0.8),42.9(0.0),72.5(6.1)
SonyAIBORobotSurface2,83.1(0.8),84.4(0.8),98.0(0.4),80.4(3.6),83.1(0.3),97.5(0.6),61.7(0.0),63.5(7.7)
StarLightCurves,92.6(0.4),90.7(1.6),96.5(0.3),93.6(0.8),95.0(0.4),97.2(0.2),57.7(0.0),84.9(0.1)
Strawberry,95.2(1.0),95.9(0.5),97.5(0.4),95.8(0.9),95.9(0.2),98.0(0.3),64.3(0.0),91.1(2.1)
SwedishLeaf,88.4(0.9),90.2(0.8),96.7(0.3),84.1(2.4),84.5(0.2),96.3(0.4),6.4(0.0),83.7(0.7)
Symbols,80.8(0.7),75.4(1.1),95.5(1.1),64.4(27.1),83.6(1.2),89.3(4.2),17.4(0.0),79.8(3.4)
SyntheticControl,98.7(0.5),97.3(0.4),98.9(0.4),95.3(3.3),97.3(0.3),99.7(0.2),16.7(0.0),87.9(0.5)
ToeSegmentation1,59.8(2.3),70.6(5.8),96.1(1.1),55.9(3.1),58.9(1.1),95.7(0.5),52.6(0.0),88.2(3.5)
ToeSegmentation2,75.2(2.6),70.2(3.4),88.9(2.5),64.9(9.8),74.5(2.0),89.4(1.3),81.5(0.0),79.4(4.8)
Trace,95.2(0.4),74.0(14.8),100.0(0.0),90.2(7.0),80.6(0.5),100.0(0.0),24.0(0.0),93.4(1.8)
TwoLeadECG,87.7(1.6),78.4(0.9),99.9(0.0),80.6(15.9),75.3(0.8),100.0(0.0),50.0(0.0),94.9(2.9)
TwoPatterns,99.1(0.1),100.0(0.0),87.0(0.2),97.6(0.2),94.8(0.3),100.0(0.0),25.9(0.0),87.5(1.1)
UMD,96.0(1.3),77.1(4.6),98.8(0.3),84.2(11.6),94.9(2.1),99.0(0.4),33.3(0.0),83.5(3.2)
UWaveGestureLibraryAll,92.2(0.5),93.7(0.4),81.8(0.2),92.8(1.0),95.4(0.2),86.1(0.3),12.8(0.0),58.1(5.2)
UWaveGestureLibraryX,72.1(1.5),77.1(0.8),75.4(0.4),72.6(1.6),76.8(0.3),78.1(0.3),12.7(0.3),60.8(1.2)
UWaveGestureLibraryY,62.6(0.3),67.6(0.5),64.2(0.5),63.9(1.0),69.9(0.3),66.6(0.8),12.1(0.0),49.7(1.1)
UWaveGestureLibraryZ,63.0(1.3),68.4(0.8),72.7(0.2),64.5(1.3),69.7(0.2),74.9(0.2),12.1(0.0),57.3(1.7)
Wafer,96.1(0.0),99.8(0.0),99.7(0.0),99.2(0.3),99.6(0.0),99.8(0.1),89.2(0.0),91.6(0.2)
Wine,51.9(4.5),55.6(2.9),61.1(10.4),50.0(0.0),54.1(5.9),72.2(13.2),50.0(0.0),74.4(8.0)
WordSynonyms,56.8(0.5),55.7(1.4),56.1(0.5),47.0(6.0),59.9(0.2),61.7(0.9),21.9(0.0),50.6(2.0)
Worms,41.6(2.4),56.6(3.3),78.2(1.4),42.6(3.2),45.7(2.3),76.1(4.2),42.9(0.0),47.5(3.5)
WormsTwoClass,55.1(1.7),68.3(2.4),74.3(2.1),59.0(2.0),60.8(2.1),74.8(2.4),57.1(0.0),55.6(3.0)
Yoga,78.6(0.3),75.3(0.9),83.7(0.3),74.1(3.5),85.6(0.3),86.7(0.4),53.6(0.0),62.6(1.2)
